date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:53	1782/1782	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Mar%202016%2021:18:39%20GMT	http://ecsrates.gotquotes.com/js/jquery.base64.js	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/js/jquery.base64.js	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:54	3346/3346	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Mar%202016%2021:18:39%20GMT	http://ecsrates.gotquotes.com/js/jquery.maskedinput.js	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/js/jquery.maskedinput.js	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:54	3733/3733	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Mar%202016%2021:18:39%20GMT	http://ecsrates.gotquotes.com/js/jquery.creditCardValidator.js	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/js/jquery.creditCardValidator.js	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:54	692/692	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/application-search-result.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/application-search-result.png	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:55	515/515	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/mobile-phone.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/mobile-phone.png	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:55	789/789	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/clipboard-search-result.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/clipboard-search-result.png	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:55	64853/64853	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Mar%202016%2021:18:39%20GMT	http://ecsrates.gotquotes.com/js/libs/jquery.dataTables.min.js	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/js/libs/jquery.dataTables.min.js	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:55	744/744	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:37%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/user.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/user.png	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:55	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/fugue/car.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/fugue/car.png	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
12:45:56	3982/3982	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/web-app/48/Info.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/web-app/48/Info.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:56	1865/1865	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/icons/web-app/24/Info.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/icons/web-app/24/Info.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:56	144/144	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/dark-grey-gradient-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/dark-grey-gradient-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:56	132/132	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/lite-grey-gradient-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/lite-grey-gradient-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:57	121/121	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/title-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/title-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:57	118/118	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202016%2021:18:36%20GMT	http://ecsrates.gotquotes.com/images/old-browsers-bg/title-red-bg.png	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/images/old-browsers-bg/title-red-bg.png	(from http://ecsrates.gotquotes.com/css/common.css)
12:45:57	82893/82893	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Mar%202016%2021:18:39%20GMT	http://ecsrates.gotquotes.com/js/libs/chart/highcharts.js	C:/Users/ndesi/Downloads/Sites/gotquotes/ecsrates.gotquotes.com/js/libs/chart/highcharts.js	(from http://ecsrates.gotquotes.com/index.php/rates/start_quote/8QJuLXiOBU9l8Qdsp9xlEdB8FT9TneU~bp6T0fE67iGivBJXn98ZSgQiqSz~NYO92S6cNnub7BxJPNpmby.USg--?tsr=mycampaign)
